Variable,N,N_Categorias,Moda,Moda_Freq,Moda_Pct,Distribucion
Grupo Sanguíneo,538,8,15.0,205,38.10408921933085,"{15: np.int64(205), 13: np.int64(134), 11: np.int64(107), 17: np.int64(42), 16: np.int64(19)}"
Ciclo (R/I),538,3,2.0,387,71.93308550185874,"{2: np.int64(387), 4: np.int64(150), 5: np.int64(1)}"
Embarazada (S/N),538,2,0.0,333,61.89591078066915,"{0: np.int64(333), 1: np.int64(205)}"
Aumento Peso (S/N),538,2,0.0,334,62.0817843866171,"{0: np.int64(334), 1: np.int64(204)}"
Crecimiento Vello (S/N),538,2,0.0,390,72.4907063197026,"{0: np.int64(390), 1: np.int64(148)}"
Oscurecimiento Piel (S/N),538,2,0.0,372,69.14498141263941,"{0: np.int64(372), 1: np.int64(166)}"
Pérdida Cabello (S/N),538,2,0.0,294,54.646840148698885,"{0: np.int64(294), 1: np.int64(244)}"
Acné (S/N),538,2,0.0,275,51.11524163568774,"{0: np.int64(275), 1: np.int64(263)}"
Comida Rápida (S/N),538,2,1.0,277,51.486988847583646,"{1.0: np.int64(277), 0.0: np.int64(261)}"
Ejercicio Regular (S/N),538,2,0.0,405,75.27881040892194,"{0: np.int64(405), 1: np.int64(133)}"
