,Número Abortos,Duración Ciclo (días),Años Casada,Num Folículos (I),Num Folículos (D),Edad (años),Peso (Kg),Altura (cm),IMC,Frecuencia Cardiaca (lpm),Frecuencia Respiratoria (rpm),Hemoglobina (g/dl),beta-HCG I (mUI/mL),beta-HCG II (mUI/mL),FSH (mUI/mL),LH (mUI/mL),Ratio FSH/LH,Cadera (pulg),Cintura (pulg),Ratio Cintura-Cadera,TSH (mUI/L),AMH (ng/mL),Prolactina (ng/mL),Vitamina D3 (ng/mL),Progesterona (ng/mL),Glucosa (mg/dl),Presión Sistólica (mmHg),Presión Diastólica (mmHg),Tamaño Folículo Prom (I) (mm),Tamaño Folículo Prom (D) (mm),Endometrio (mm)
Número Abortos,1.0,0.004607922804039166,0.24665126958743458,-0.058745811945469587,-0.07973572313913777,0.220105197528073,0.09363313245536016,-0.025888708729136893,0.11019330673110911,0.044801485662497524,-0.008163164830200648,0.05793195322366797,0.057738160799732395,0.005557207217207023,-0.010330170372585596,-0.03333818365139011,-0.060309708112492026,0.07947350187426373,0.07339275198967386,-0.00812499102577291,0.05909510675287934,-0.0523044958302062,-0.062005540493056024,-0.017272954809095763,-0.023988734008156577,-0.013508041606735943,-0.0842884255294587,0.072971398546406,-0.05836179134450332,-0.11897710886257509,-0.06691069103550774
Duración Ciclo (días),0.004607922804039166,1.0,0.117908926370234,-0.08685049443358582,-0.16069769778368798,0.05666945371776303,-0.0015519846249890112,0.008643100862124756,-0.005412951032225541,0.006916162511227133,0.006098548633542435,-0.05057695632981432,0.020114112487459753,0.06386202814607843,-0.044963816529004844,-0.12834025608411134,0.03379372720364788,0.040302720809367545,-0.02390279607268721,-0.12969667159135975,-0.004820962283805552,-0.08815861697317794,0.015637753317155497,0.02568909807207699,0.007297364221723831,-0.0003009054118416009,-0.011098098455743083,-0.0766861898523649,-0.05289530495991676,-0.014534362941318824,-0.015176118632667672
Años Casada,0.24665126958743458,0.117908926370234,1.0,-0.08371453749947455,-0.09096886723259304,0.660408742679487,0.047068816353420875,-0.06478293978353045,0.08654147445090364,0.038144681900647175,0.0764903362907976,0.009000382416741002,0.11166299578294904,0.06189097531218024,0.02890215580313178,-0.12294391657073858,0.010762504971388068,0.041355596941003214,0.058117599059139234,0.028412620108246325,0.006543324198912065,-0.1474241623930141,-0.026939752834783316,0.046568066947050325,-0.05270491670821524,0.07569734852053428,0.030730840902263485,0.005841357027216354,-0.08052984463788618,-0.10502079089977236,-0.1064764334114681
Num Folículos (I),-0.058745811945469587,-0.08685049443358582,-0.08371453749947455,1.0,0.7993590212814681,-0.11335544498646727,0.17677977624627106,0.10667712320156324,0.14628311162330457,0.038772726486347914,0.06818011521936912,0.06097698481635575,0.048112422788666724,0.016655119530981855,-0.04680778301413282,0.0035220583642603053,-0.03130489521857184,0.12267315952325702,0.13033751978380895,0.018977851363153178,0.008601258465609694,0.22073025644143773,-0.008389394273382516,0.07089713298602779,0.01873468289964673,0.04321852741942941,0.04041382307212406,0.027530288098148243,0.24563794085943788,0.14506789743712806,0.08147912604656851
Num Folículos (D),-0.07973572313913777,-0.16069769778368798,-0.09096886723259304,0.7993590212814681,1.0,-0.16226037278591282,0.12631728938505588,0.07673403786243062,0.10613077824990007,0.047667743875745704,0.010329846541988041,0.07212473915722342,0.01813219473991826,-0.01257531039869229,0.015842891107206637,1.1984006410665509e-05,0.0026828854776187925,0.09753752839959602,0.09422139829016708,-0.007438846870274292,0.01779608157253473,0.19730675947317147,-0.006472255630950724,0.08674967186114355,0.031638859650527706,0.027115247183965237,0.025865820214655486,0.04032835140321594,0.15286501687325285,0.18538776525528974,0.08090252797370041
Edad (años),0.220105197528073,0.05666945371776303,0.660408742679487,-0.11335544498646727,-0.16226037278591282,1.0,-0.028103710157852402,-0.11915481099402173,0.02294910241350584,0.04446743331225363,0.08576044629973531,-0.022581385317771284,0.007875064131818665,-0.013232142134858007,0.07549628336892787,-0.15294834688902315,0.10189987634215725,-0.0008069835971443162,0.036282123732492275,0.06353224125335555,0.06709234523694013,-0.19301277323998178,-0.04795433728014552,-0.004269817204379813,-0.021852774248454707,0.09662225514529123,0.07470231927131732,0.06830672338309428,-0.020879435826548096,-0.08340490666959202,-0.1042271089360734
Peso (Kg),0.09363313245536016,-0.0015519846249890112,0.047068816353420875,0.17677977624627106,0.12631728938505588,-0.028103710157852402,1.0,0.42086515763981747,0.9015433566869746,0.02031102635942973,0.04352702992772923,0.006179903138123816,0.016359299025954212,-0.047828770963945506,0.007495568203293892,-0.0008971909577593874,-0.016696862321828557,0.6332213205995944,0.6407097388363094,0.018879466290032208,0.047455143160609205,0.03565445322016126,-0.048187101414581233,-0.06328626900845165,0.0695080906324375,0.11568503081111771,0.024671508420620224,0.1319486385022226,-0.01515296052251316,-0.06781239388192017,-0.012571603142211066
Altura (cm),-0.025888708729136893,0.008643100862124756,-0.06478293978353045,0.10667712320156324,0.07673403786243062,-0.11915481099402173,0.42086515763981747,1.0,-0.006317941292923238,-0.07549447325878583,-0.029883099634629956,0.022043870629564234,0.06210368558832715,0.011534332662888166,-0.06273373463922637,0.02885812551564694,-0.04024115233075341,0.215609357505101,0.2084840719204182,-0.014915470166718833,0.016015923453535804,-0.0520275354893966,-0.014637024136905374,-0.045340323377808044,0.049734810588528314,0.049246159647085924,-0.06864881274174564,0.01139113401230073,-0.025237955818430424,0.06102916567633251,-0.05225324301474237
IMC,0.11019330673110911,-0.005412951032225541,0.08654147445090364,0.14628311162330457,0.10613077824990007,0.02294910241350584,0.9015433566869746,-0.006317941292923238,1.0,0.05141071475741347,0.0617381862379444,0.0011567287383630746,-0.009418231012606207,-0.05539747324392709,0.03867650448989324,-0.01587481771371399,-0.00011126875194369872,0.5964235264884188,0.6095850286800009,0.031051087810883178,0.047457358185592165,0.062176544938219336,-0.04708191831689103,-0.04600999109186789,0.049781385789725206,0.09554164606509356,0.06688248294420908,0.14055927236454874,-0.0054938911436296445,-0.10624657920491605,0.0058715149382297495
Frecuencia Cardiaca (lpm),0.044801485662497524,0.006916162511227133,0.038144681900647175,0.038772726486347914,0.047667743875745704,0.04446743331225363,0.02031102635942973,-0.07549447325878583,0.05141071475741347,1.0,0.3021884910765571,-0.055993164823574006,-0.020905462798062054,0.017474413240754043,-0.04655940475406921,-0.02909417471869399,0.0013980413555580184,0.06351537580602729,0.037388782838669664,-0.05272109770068128,-0.039784964251657645,-0.05308083098017425,0.022560418109455364,0.032798283375085655,-0.01779860555955024,0.0410785383520591,-0.02577736907051182,0.0094352802330101,-0.05068625904482551,-0.03597684520080152,-0.04066813315819329
