Variable_Numerica,Variable_Categorica,SOP_F,SOP_P,Cat_F,Cat_P,Interaction_F,Interaction_P,Interaction_Sig,n
Edad (años),Embarazada (S/N),16.4571843029599,5.718846226231996e-05,1.3210379687667844,0.25092037149994467,1.4597153226857915,0.22751018963902275,No,538
Peso (Kg),Embarazada (S/N),25.854848460596674,5.101929617908263e-07,1.0830394168120605,0.2984895571325463,1.7469219009846189,0.18683010208725015,No,538
Altura (cm),Embarazada (S/N),2.9148770062779366,0.08834738328181987,1.0978635238656123,0.2952094548818555,0.09135745114601525,0.762576166543257,No,538
IMC,Embarazada (S/N),22.496295842975037,2.705582592902518e-06,2.413400425255068,0.12089323216751051,2.3997016847475043,0.12195081285698617,No,538
Grupo Sanguíneo,Embarazada (S/N),0.6550888746841369,0.418659612740486,3.0285662518676726,0.08238634248481277,3.5945338115163037,0.058509473876208244,No,538
Frecuencia Cardiaca (lpm),Embarazada (S/N),4.890018174779795,0.02743521490390315,3.8078843408861007,0.05153431093375748,0.7200083189464054,0.3965213791546873,No,538
Frecuencia Respiratoria (rpm),Embarazada (S/N),0.8318205808084473,0.36215816326673056,3.415956113557777,0.06512169972787835,5.623912530984794,0.018070795167825053,Sí,538
Hemoglobina (g/dl),Embarazada (S/N),4.330293228922063,0.037915778054434385,4.604130609506886,0.03234517219766239,0.14512945067151062,0.7033854830566757,No,538
Ciclo (R/I),Embarazada (S/N),103.7187826036404,2.2171380329950554e-22,3.3793485938851218,0.06657336969408953,1.8934632062973313,0.16938862037051786,No,538
Duración Ciclo (días),Embarazada (S/N),17.465027597248415,3.4188894227407866e-05,1.036787055904883,0.30903098918348887,4.31835996382291,0.03818033704894824,Sí,538
Años Casada,Embarazada (S/N),7.717819535931739,0.005660213273862382,0.04104771942082832,0.8395230068928239,0.05100192243640813,0.8214153439951948,No,538
Número Abortos,Embarazada (S/N),1.7574158111507587,0.18551399707712687,0.0014516487268781486,0.9696217851957153,0.2982794050814891,0.5851911905315348,No,538
beta-HCG I (mUI/mL),Embarazada (S/N),0.3104261730989194,0.5776522337436556,12.334711149767257,0.0004822653576388346,1.765693591372843,0.1844834420639901,No,538
beta-HCG II (mUI/mL),Embarazada (S/N),0.19450552163314622,0.6593713696671051,62.41970233838504,1.594197294907374e-14,0.19734759128332136,0.6570503366991357,No,538
FSH (mUI/mL),Embarazada (S/N),0.1569683776169991,0.6921213928021888,5.120336815193704,0.024047842624485304,0.3435575708267495,0.5580305471683662,No,538
LH (mUI/mL),Embarazada (S/N),3.6671527766559118,0.056028829520042886,0.11129393399959793,0.7388067479357102,1.700947853211984,0.19272592902734453,No,538
Ratio FSH/LH,Embarazada (S/N),0.7986263383782173,0.37190696254307587,0.32415927179930437,0.5693581361960791,0.0021729767244520293,0.9628373461067385,No,538
Cadera (pulg),Embarazada (S/N),15.007660265162365,0.00012037383031597108,0.4146991003788036,0.5198704981444677,2.6440120090321546,0.10453071466719528,No,538
Cintura (pulg),Embarazada (S/N),15.174041011552024,0.00011048714027064747,1.1907084107814272,0.27567880791744925,1.797310994423934,0.180607958131359,No,538
