Variable,VIF,Status
Waist(inch),1248.3216142125975,SEVERO
Hip(inch),1078.1403090483736,SEVERO
Waist:Hip Ratio,849.8712287949638,SEVERO
BP _Systolic (mmHg),252.92837384215622,SEVERO
BMI,213.5877471581291,SEVERO
BP _Diastolic (mmHg),201.01361740073122,SEVERO
Weight (Kg),186.50910008575622,SEVERO
Hb(g/dl),178.5371863177179,SEVERO
RR (breaths/min),137.61955067286223,SEVERO
Avg. F size (R) (mm),34.68870646937284,SEVERO
RBS(mg/dl),31.43903118660833,SEVERO
Avg. F size (L) (mm),29.207651454105985,SEVERO
Endometrium (mm),17.268493735537017,SEVERO
Cycle length(days),13.079056485023118,SEVERO
Follicle No. (R),9.902414734238102,Moderado
Follicle No. (L),9.751896680040375,Moderado
Vit D3 (ng/mL),7.069098350071935,Moderado
Marraige Status (Yrs),4.182441976360008,OK
LH(mIU/mL),4.029466791230801,OK
PRL(ng/mL),3.7771105251063193,OK
FSH(mIU/mL),2.941498900312616,OK
AMH(ng/mL),2.551203732036291,OK
FSH/LH,2.535777720242434,OK
TSH (mIU/L),2.2404231962320202,OK
No. of abortions,1.3260589487975307,OK
II    beta-HCG(mIU/mL),1.1530764532302826,OK
PRG(ng/mL),1.065407565047097,OK
