Variable,N,Mean,Median,Std,Min,Max,Skewness,Kurtosis,Shapiro_Stat,Shapiro_P
Edad (años),538,31.444237918215613,31.0,5.4199485209142235,20.0,48.0,0.34777293652064956,-0.16726465742879526,0.9858990077338226,4.542462437706256e-05
Peso (Kg),538,59.640706319702595,59.3,11.037540354595622,31.0,108.0,0.5128089636322495,1.1567038796613076,0.9801483440775621,1.075294196356405e-06
Altura (cm),538,156.48753903345727,156.0,6.04071645917823,137.0,180.0,0.32512623073194885,0.32415846638944146,0.9854025024534073,3.203816478234955e-05
IMC,538,24.307992565055763,24.2,4.057119092355259,12.4,38.9,0.269449663373157,0.8673946551230012,0.9891829767420016,0.0005294253701840384
Grupo Sanguíneo,538,13.806691449814126,14.0,1.840925153407431,11.0,18.0,-0.13405606579285503,-0.9408873427534745,0.888008481061682,2.5201875320366586e-19
Frecuencia Cardiaca (lpm),538,73.26208178438662,72.0,4.437869552036949,13.0,82.0,-7.938203215798509,105.83633115374224,0.4584844449206483,2.5309435050457426e-37
Frecuencia Respiratoria (rpm),538,19.25092936802974,18.0,1.6907705070406678,16.0,28.0,1.2227987880388125,2.651709032385911,0.7990870066136837,2.8340357427666694e-25
Hemoglobina (g/dl),538,11.16539033457249,11.0,0.8649626939240415,8.5,14.8,0.7509153547770494,0.8701275830932689,0.9557105170039719,1.244115877533732e-11
Ciclo (R/I),538,2.563197026022305,2.0,0.9034913669324642,2.0,5.0,0.9862978128330203,-1.0024059925282658,0.5675656568573343,2.2548885804425934e-34
Duración Ciclo (días),538,4.938661710037175,5.0,1.4954778739809327,0.0,12.0,0.827102266587472,4.25269954044845,0.8375602946594409,5.1869780479266745e-23
Años Casada,538,7.68717472118959,7.0,4.799662756925366,0.0,30.0,1.1462393527861692,1.8618021819770076,0.9201083154519253,2.821065581974116e-16
Embarazada (S/N),538,0.38104089219330856,0.0,0.4860945664798298,0.0,1.0,0.4899039288657058,-1.759994140481945,0.6156320070689354,7.041153562519208e-33
Número Abortos,538,0.2899628252788104,0.0,0.6941707259408662,0.0,5.0,2.9521037106783163,10.009620380443389,0.4790236537877389,8.306120222573042e-37
beta-HCG I (mUI/mL),538,666.051591078067,19.375,3358.085669134073,1.3,32460.97,7.481481794377972,57.136662050773815,0.17568513585171774,3.5705244838931564e-43
beta-HCG II (mUI/mL),538,142.42741449814125,1.99,469.5543989341141,1.92,3893.06,6.494810800928012,47.07059574005299,0.3055894700563777,9.865022858485044e-41
FSH (mUI/mL),538,5.273644981412639,4.845,4.49743759058154,0.21,65.4,8.889513880320635,105.9246418484493,0.447224471379039,1.3398435013056356e-37
LH (mUI/mL),538,2.743914498141264,2.245,2.3115465556006733,0.02,14.69,1.6500429554904834,3.7938401320762116,0.864467121878961,3.574988947514721e-21
Ratio FSH/LH,538,3.7233085501858736,2.165,4.662301225817778,0.44,29.73,3.573703044723193,14.784260085974708,0.579134352148462,5.013635535858052e-34
Cadera (pulg),538,37.98884758364312,38.0,3.974296626923362,26.0,48.0,-0.19930347460569933,0.4904604779707298,0.9757791947039282,9.01950167180496e-08
Cintura (pulg),538,33.842007434944236,34.0,3.605698632632425,24.0,47.0,0.19316994208112775,0.8836942222490531,0.9783219112144945,3.6916297065353513e-07
Ratio Cintura-Cadera,538,0.891728624535316,0.89,0.046113219487608915,0.76,0.98,-0.33735743035006205,-0.6392088554360442,0.9708248506910775,7.2521744543414785e-09
TSH (mUI/L),538,2.8716412639405204,2.26,2.645391190499212,0.04,25.91,4.199475396011,25.186722344926395,0.6362320205797217,3.4226645412510655e-32
AMH (ng/mL),538,5.5400241635687735,3.7,5.2894273606775535,0.2,26.4,1.7574332082074533,2.8739457326198155,0.7990548591919828,2.822667879683396e-25
Prolactina (ng/mL),538,24.268197026022307,21.88,14.990999046859198,0.4,128.24,2.446243191640891,10.409254176463994,0.8197162877672821,4.165716117757897e-24
Vitamina D3 (ng/mL),538,29.029648698884756,25.9,12.569853348255725,9.2,74.5,1.165519936342599,1.5365434259692927,0.9198995501143213,2.6788277499318653e-16
Progesterona (ng/mL),538,0.6116933085501859,0.32,3.819404450733015,0.047,85.0,20.616327926243937,444.88009942814654,0.05098802531617386,3.104542419757838e-45
Glucosa (mg/dl),538,99.85167286245353,100.0,18.600544809627,60.0,350.0,5.465175393791681,63.33900754040609,0.6961957995569308,5.332095723181095e-30
Aumento Peso (S/N),538,0.379182156133829,0.0,0.4856350641653929,0.0,1.0,0.49802946205476323,-1.7519666549254431,0.6149620743470994,6.695911780336818e-33
Crecimiento Vello (S/N),538,0.275092936802974,0.0,0.4469766955817957,0.0,1.0,1.0072846244345812,-0.9853776853776841,0.5583798700231721,1.2102014081937273e-34
Oscurecimiento Piel (S/N),538,0.30855018587360594,0.0,0.4623248455791841,0.0,1.0,0.8289755210870055,-1.312799585438528,0.580893418684956,5.6700805358799036e-34
Pérdida Cabello (S/N),538,0.45353159851301117,0.0,0.4982993236456085,0.0,1.0,0.18668156196047014,-1.965149994423999,0.6334010264283103,2.742702624268306e-32
Acné (S/N),538,0.4888475836431227,0.0,0.5003408251824385,0.0,1.0,0.04462076634810129,-1.9980089872105082,0.6363684556187104,3.459512498324243e-32
