Variable,VIF,Clasificación
Glucosa (mg/dl),58321.24075130663,SEVERO (>10)
Ratio Cintura-Cadera,31009.67764604075,SEVERO (>10)
Cadera (pulg),30117.615713333063,SEVERO (>10)
Cintura (pulg),29541.71429870418,SEVERO (>10)
Altura (cm),26061.710796050967,SEVERO (>10)
IMC,6314.109753604052,SEVERO (>10)
Peso (Kg),6226.666347198326,SEVERO (>10)
Frecuencia Respiratoria (rpm),1976.8257983117153,SEVERO (>10)
Ratio FSH/LH,253.4308743674075,SEVERO (>10)
Hemoglobina (g/dl),185.92435350304925,SEVERO (>10)
FSH (mUI/mL),167.20866027887732,SEVERO (>10)
LH (mUI/mL),122.97504743231984,SEVERO (>10)
Vitamina D3 (ng/mL),77.29340671728879,SEVERO (>10)
Tamaño Folículo Prom (I) (mm),67.36896718556521,SEVERO (>10)
Edad (años),65.69221642869987,SEVERO (>10)
Grupo Sanguíneo,63.82065691803811,SEVERO (>10)
Frecuencia Cardiaca (lpm),48.77653482900074,SEVERO (>10)
Progesterona (ng/mL),39.324788218623794,SEVERO (>10)
Presión Sistólica (mmHg),37.93125294908796,SEVERO (>10)
Prolactina (ng/mL),34.28969286446204,SEVERO (>10)
Tamaño Folículo Prom (D) (mm),30.81076126905169,SEVERO (>10)
Años Casada,24.512295436020604,SEVERO (>10)
Endometrio (mm),18.647766288476536,SEVERO (>10)
Presión Diastólica (mmHg),18.086626429068925,SEVERO (>10)
beta-HCG II (mUI/mL),17.33227323324185,SEVERO (>10)
Duración Ciclo (días),13.710501165231246,SEVERO (>10)
TSH (mUI/L),13.675915411321908,SEVERO (>10)
Ciclo (R/I),12.396959709796937,SEVERO (>10)
Num Folículos (I),10.567384243821312,SEVERO (>10)
Num Folículos (D),10.562091327940406,SEVERO (>10)
beta-HCG I (mUI/mL),8.353401026207823,MODERADO (5-10)
AMH (ng/mL),7.710661528205557,MODERADO (5-10)
Embarazada (S/N),3.5963886526657043,OK (<5)
Comida Rápida (S/N),3.0876625986541244,OK (<5)
Aumento Peso (S/N),2.8823103550234364,OK (<5)
Acné (S/N),2.5012551128141087,OK (<5)
Pérdida Cabello (S/N),2.371385082511268,OK (<5)
Oscurecimiento Piel (S/N),2.1021012379573287,OK (<5)
Crecimiento Vello (S/N),1.929085041550903,OK (<5)
Ejercicio Regular (S/N),1.4645207660049433,OK (<5)
Número Abortos,1.4416072073019848,OK (<5)
