Variable,Importance
Num Folículos (D),0.18458570964400461
Num Folículos (I),0.12421912421462834
Oscurecimiento Piel (S/N),0.05580162436503421
Crecimiento Vello (S/N),0.05041034869582585
Aumento Peso (S/N),0.04900843040620249
AMH (ng/mL),0.034920492113723306
Ciclo (R/I),0.034913976949374176
Duración Ciclo (días),0.03323337774310886
LH (mUI/mL),0.022414336098331916
Peso (Kg),0.021875419874933483
Ratio FSH/LH,0.02186875188087716
Comida Rápida (S/N),0.021846729221180958
Endometrio (mm),0.021128799944337598
TSH (mUI/L),0.019198337837334878
Edad (años),0.018994600874197853
IMC,0.018382763380477573
Cadera (pulg),0.016704331894290086
Vitamina D3 (ng/mL),0.016207234632226016
Prolactina (ng/mL),0.01609728137466743
FSH (mUI/mL),0.015808113172682017
Años Casada,0.01571841008122138
Tamaño Folículo Prom (I) (mm),0.015659502535792198
Altura (cm),0.01565444779036471
Progesterona (ng/mL),0.014651696454600282
Tamaño Folículo Prom (D) (mm),0.014245673095694512
Ratio Cintura-Cadera,0.013922537110628097
Glucosa (mg/dl),0.013635876619769682
Cintura (pulg),0.013452374047620582
beta-HCG I (mUI/mL),0.01305076817351507
Hemoglobina (g/dl),0.011861571506305083
Acné (S/N),0.01179141068804353
beta-HCG II (mUI/mL),0.009981591296678773
Frecuencia Cardiaca (lpm),0.006768266409143737
Grupo Sanguíneo,0.006641871438465257
Frecuencia Respiratoria (rpm),0.0053928107422591045
Pérdida Cabello (S/N),0.004533603461242672
Presión Sistólica (mmHg),0.004247172956923225
Ejercicio Regular (S/N),0.003501767871466958
Número Abortos,0.0034007163442367665
Embarazada (S/N),0.002138188056842323
Presión Diastólica (mmHg),0.002129959001747215
