,Edad (años),Peso (Kg),Altura (cm),IMC,Grupo Sanguíneo,Frecuencia Cardiaca (lpm),Frecuencia Respiratoria (rpm),Hemoglobina (g/dl),Ciclo (R/I),Duración Ciclo (días),Años Casada,Embarazada (S/N),Número Abortos,beta-HCG I (mUI/mL),beta-HCG II (mUI/mL),FSH (mUI/mL),LH (mUI/mL),Ratio FSH/LH,Cadera (pulg),Cintura (pulg),Ratio Cintura-Cadera,TSH (mUI/L),AMH (ng/mL),Prolactina (ng/mL),Vitamina D3 (ng/mL),Progesterona (ng/mL),Glucosa (mg/dl),Aumento Peso (S/N),Crecimiento Vello (S/N),Oscurecimiento Piel (S/N),Pérdida Cabello (S/N),Acné (S/N),Comida Rápida (S/N),Ejercicio Regular (S/N),Presión Sistólica (mmHg),Presión Diastólica (mmHg),Num Folículos (I),Num Folículos (D),Tamaño Folículo Prom (I) (mm),Tamaño Folículo Prom (D) (mm),Endometrio (mm)
Edad (años),1.0,-0.028103710157852402,-0.11915481099402173,0.02294910241350584,-0.013213659700704518,0.05805218106770551,0.08596788014384038,-0.022581385317771284,-0.08769474100278123,0.05666945371776299,0.6112949909851032,-0.044578368468581604,0.2292889865334953,-0.02745000365104182,-0.03197563244576429,0.0325049136654375,-0.14908125084625307,0.18637341906037883,-0.0008069835971443162,0.036282123732492275,0.06353224125335555,0.05847780344736582,-0.19025939729087166,-0.08448706470622554,-0.006790706368984652,-0.031148806097577177,0.10549405636369884,-0.030863937454103117,-0.07513634253330873,-0.10533833625795888,-0.08370235228026833,-0.03422120904441299,-0.037125794457530205,-0.02791644971711816,0.12239774213629749,0.0797703491251793,-0.11335544498646721,-0.16226037278591288,-0.04649494710913975,-0.08340490666959202,-0.1042271089360734
Peso (Kg),-0.028103710157852402,1.0,0.42086515763981747,0.9015433566869746,0.07636317520929459,0.006371182596271719,0.03752307732424882,0.006179903138123816,0.20116496679441404,-0.0015519846249890273,0.03897704015729935,-0.04923183789415232,0.09827942122138947,-0.04415086862125327,0.0018680261802225583,-0.007120126131925507,0.005619156934353027,-0.034283091755614496,0.6332213205995944,0.6407097388363094,0.018879466290032208,0.05049247594028385,0.03722568890404709,-0.05698375049679527,-0.08335445463876635,0.053883475380555365,0.0983343715603469,0.4206088912467494,0.1886064559185037,0.1805450625846434,0.07667773948116365,0.06878684173346564,0.16560543328284089,-0.06580462158082533,0.047401680891892964,0.135642661000519,0.17677977624627106,0.12631728938505585,0.013704848072359662,-0.06781239388192017,-0.012571603142211066
Altura (cm),-0.11915481099402173,0.42086515763981747,1.0,-0.006317941292923238,0.03946540823165812,-0.07436570108142697,-0.03737247121296636,0.022043870629564234,-0.017662160589065078,0.008643100862124761,-0.07308953463940551,0.04334691364532988,-0.02423227300776147,0.0672081414690829,0.027029371911836766,-0.04795551225005633,0.02247924822591001,-0.05529707634535833,0.215609357505101,0.2084840719204182,-0.014915470166718833,0.039397174788601094,-0.05853058747496043,0.0009970636940416207,-0.03318269378940729,-0.02346693339180468,0.034512809779898575,0.01824503805132528,0.04876382195035887,0.07464365038687765,-0.016792416551608475,0.06217552311328734,0.028803231312805377,0.017381109469432058,-0.03535469991793024,0.020899730861269894,0.10667712320156329,0.07673403786243048,-0.008204335813295337,0.06102916567633251,-0.05225324301474237
IMC,0.02294910241350584,0.9015433566869746,-0.006317941292923238,1.0,0.06598009196153004,0.03366260989656493,0.058734866455441466,0.0011567287383630746,0.23342583014136004,-0.005412951032225562,0.08224433798178281,-0.07057183799368487,0.11439810644053143,-0.07573609941132517,-0.010477941413944824,0.014538271746414998,-0.0046451038501085,-0.012694306540467971,0.5964235264884188,0.6095850286800009,0.031051087810883178,0.04126633528229809,0.06793151860395943,-0.06407684196280918,-0.07375598182069712,0.07114917033496997,0.0862856087796188,0.45704276423166446,0.18229017967255376,0.1592181643142022,0.08828947523042381,0.05036144558042125,0.16477780821330107,-0.07989821503548226,0.07764874274764748,0.14017335073376622,0.1462831116233046,0.10613077824990008,0.020648109968370243,-0.10624657920491605,0.0058715149382297495
Grupo Sanguíneo,-0.013213659700704518,0.07636317520929459,0.03946540823165812,0.06598009196153004,1.0,0.05117842655482631,-0.028017040329207047,-0.0026189360217526696,0.1226781192246344,-0.007020575669065909,-0.020080522021760003,-0.07568903705292336,-0.06270683282417903,-0.049430671397856056,-0.039692471910426456,-0.08525142103992707,-0.04376265803680385,-0.004275311043477335,0.0009774112781526807,0.004087174130525611,0.012718183438404767,0.07897700935452745,0.07069473171784196,0.02589713334151068,0.038476651953816415,0.05006709950403464,0.021087016629058937,0.0071548286498597895,0.08511462146706042,0.022074959354948184,-0.04432074028094644,0.03606800423731653,-0.03933744781528366,0.06491598325844661,0.028557891306120572,0.0762861865760144,0.05815698202408362,0.011848539609967292,-0.037083598425860516,-0.021739896393799505,-0.011830693082075204
Frecuencia Cardiaca (lpm),0.05805218106770551,0.006371182596271719,-0.07436570108142697,0.03366260989656493,0.05117842655482631,1.0,0.4578418681479121,-0.07437686009976509,0.11432376051350081,-0.005327688557357948,0.05824596541300136,0.08227897177257941,0.025876037814820795,0.020154429029417498,0.057942686162399254,-0.07206732061641737,-0.005854906624709439,-0.03463559800979727,0.059098675430856326,0.025987871660078363,-0.06922474939964451,-0.03750841163450556,-0.04311451044264618,-0.011946472226771948,0.03803616026177844,-0.02640124323671788,0.06494950876409987,0.02451394620528587,0.05766279420972145,0.0544825852809269,0.05330547168814925,-0.0068605449001886065,0.07953467226635302,-0.030045276428786495,-0.040743675366317934,-0.06244778443891855,0.051481894484090684,0.035047393412922664,-0.0447558985686672,-0.036822265087895746,-0.059874912065528293
Frecuencia Respiratoria (rpm),0.08596788014384038,0.03752307732424882,-0.03737247121296636,0.058734866455441466,-0.028017040329207047,0.4578418681479121,1.0,-0.04678923352298504,0.016969344097775885,0.004992784764381709,0.08197445379847701,0.07988347282880978,-0.01507526736401186,-0.0366946396325461,-0.001195303383393701,0.0075839770078428015,0.033945076771727874,-0.035842712258774265,0.07067746743198502,0.03583453054470217,-0.07107883149021575,0.024042471268993434,-0.0034864271537444823,0.0022042972050995025,0.05282902831018735,-0.023749397981094093,0.07938379996720342,0.044624599073671896,-0.013614309872075793,-0.0009958378727542658,-0.040226987962117905,0.028985000608115402,0.1326069418229156,-0.045243051476702635,0.043021330363436326,0.07336591379450233,0.06606499664366736,0.008608059077802961,-0.00911978870538236,-0.020327152590569147,-0.06326212024449847
Hemoglobina (g/dl),-0.022581385317771284,0.006179903138123816,0.022043870629564234,0.0011567287383630746,-0.0026189360217526696,-0.07437686009976509,-0.04678923352298504,1.0,0.03304291452254093,-0.050576956329814265,0.020783952939681362,-0.09431604794629811,0.06046130506041513,-0.08646236974568552,-0.07708432310275712,-0.031879996614679766,-0.042367163766718424,0.018566024697254786,-0.027263071367056302,-0.0023118212237011686,0.05754203759710535,0.004836652626390867,0.026179987316388143,-0.06119636235162999,0.06958867992870026,-0.027322805995012737,-0.023072050441724525,0.10529038481392451,0.14263121381688834,0.02111922492514789,0.08703623625646587,0.05986357412172621,0.07599068857140458,0.016967823854630457,0.09380085489144414,0.005980498647356362,0.06097698481635574,0.07212473915722348,0.031366171833982694,0.02772457174407018,-0.06810098053373326
Ciclo (R/I),-0.08769474100278123,0.20116496679441404,-0.017662160589065078,0.23342583014136004,0.1226781192246344,0.11432376051350081,0.016969344097775885,0.03304291452254093,1.0,-0.20041463128204962,-0.046896913739490904,-0.08249372015220241,-0.053249104351532836,-0.012320191189765782,-0.009296834701008864,-0.03226915184323202,0.1476958619655046,-0.18269749904126453,0.17600565744302507,0.1691281032485568,-0.0028504583862296786,-0.021511036121898513,0.20752873706932085,0.015345764298888013,-0.015318731935505288,-0.03608232187132346,0.00836478460276526,0.2508629442462007,0.2750453253227219,0.22071975451255912,0.10166980120266335,0.12308481369268448,0.20186754624209044,-0.00432089130336854,0.05129663867928307,0.07646046989520286,0.2957676075191796,0.2503788172715557,0.04756553925698606,0.015101347182327474,0.0435074483752992
Duración Ciclo (días),0.05666945371776299,-0.0015519846249890273,0.008643100862124761,-0.005412951032225562,-0.007020575669065909,-0.005327688557357948,0.004992784764381709,-0.050576956329814265,-0.20041463128204962,1.0,0.12540107545253443,0.047581548048120745,-0.0002993639676775642,0.03668306057638806,0.04072929592821001,-0.06256232155292583,-0.1158907402543893,0.1012965500832221,0.040302720809367545,-0.02390279607268721,-0.12969667159135975,0.041280464111864444,-0.08488792869104794,0.012274808453589452,0.04086022283550108,0.058887511542115294,0.006459892699804374,-0.13458211347865415,-0.05271404514836163,-0.03991016317995824,-0.0050814829302708335,-0.05193513069925574,-0.0796782810027413,0.026410155457739167,-0.012486504077733393,-0.07118616744461731,-0.08685049443358582,-0.16069769778368798,-0.05564164342396028,-0.014534362941318824,-0.015176118632667672
Años Casada,0.6112949909851032,0.03897704015729935,-0.07308953463940551,0.08224433798178281,-0.020080522021760003,0.05824596541300136,0.08197445379847701,0.020783952939681362,-0.046896913739490904,0.12540107545253443,1.0,-0.0024437457802044004,0.2393796478567135,0.0028120033724980727,0.026874210111113666,-0.05310076102103932,-0.1278174187281113,0.1063174970683173,0.038583485323925436,0.04027326820733818,-0.0022318332262832477,0.02303325763041546,-0.1311146408494218,-0.06087087346496086,0.04190218244542332,0.008324616096075033,0.09479274613671354,-0.016254178588244222,-0.025965108910406636,-0.046900523562761684,0.029518410294685417,0.03613779498314011,0.001468033074033758,0.03328683327149479,0.09728562459560268,0.01579973482194553,-0.09112469289838458,-0.0841021377448594,-0.05218309446927404,-0.10873528924518223,-0.1264950694365243
Embarazada (S/N),-0.044578368468581604,-0.04923183789415232,0.04334691364532988,-0.07057183799368487,-0.07568903705292336,0.08227897177257941,0.07988347282880978,-0.09431604794629811,-0.08249372015220241,0.047581548048120745,-0.0024437457802044004,1.0,0.021563271433377135,0.6022946420129642,0.653333278189554,-0.09274331267101968,-0.012759326594542104,-0.04422247069021909,-0.03153370944867285,-0.050585681707381716,-0.054362769825355595,-0.023680606898102828,-0.03364495685371235,0.011388212363396459,0.10443363485901669,0.03192279734466818,0.01599448323955242,-0.021554103817470426,-0.07194352694357811,0.014477823984798962,0.023264127796904344,0.10555650703537686,0.05706592624691617,-0.07699659050592493,-0.04432979676262891,0.004470821778334692,0.04470347709358036,0.03092996777589713,-0.06820455800894432,-0.12166550719311425,-0.009023059767196967
Número Abortos,0.2292889865334953,0.09827942122138947,-0.02423227300776147,0.11439810644053143,-0.06270683282417903,0.025876037814820795,-0.01507526736401186,0.06046130506041513,-0.053249104351532836,-0.0002993639676775642,0.2393796478567135,0.021563271433377135,1.0,-0.01259765674143489,0.008275782288107611,0.013879092049396751,0.005653148812679847,-0.008305891711044334,0.07275944372430439,0.0735379093281602,0.005864379176243574,0.05389829685592978,-0.060649924190533375,-0.0915930463713475,-0.036366870527892316,0.016245703251405934,-0.010673117155044395,0.14075499123013904,0.042223322234186685,0.006210733844390847,-0.000818017312222459,-0.06814761014756941,-0.05284098101306791,-0.03661718962093002,-0.0038499415121861736,0.06752163447271882,-0.049021885725924814,-0.0689977387115466,-0.04628912844027174,-0.12324773672464338,-0.07167486234235035
beta-HCG I (mUI/mL),-0.02745000365104182,-0.04415086862125327,0.0672081414690829,-0.07573609941132517,-0.049430671397856056,0.020154429029417498,-0.0366946396325461,-0.08646236974568552,-0.012320191189765782,0.03668306057638806,0.0028120033724980727,0.6022946420129642,-0.01259765674143489,1.0,0.5975957144444896,-0.09823972676133076,-0.034403392817438,-0.015497789676040815,-0.07553231692059997,-0.06479716046028508,0.011961234199201885,-0.018677671210682947,0.07613500282122386,0.01662471258292123,0.04670425776408707,0.04602698464418331,-0.10561271604522757,-0.0503075565354441,-0.02977937730979467,0.07462260867639617,-0.005989132413581736,0.09654482493554856,0.01859465395955902,-0.0038477926212410747,-0.031023933248951304,0.02376494632203348,0.17903196952615016,0.14095563659885416,0.04229718026474965,0.06653426192246693,-0.01224206093578365
beta-HCG II (mUI/mL),-0.03197563244576429,0.0018680261802225583,0.027029371911836766,-0.010477941413944824,-0.039692471910426456,0.057942686162399254,-0.001195303383393701,-0.07708432310275712,-0.009296834701008864,0.04072929592821001,0.026874210111113666,0.653333278189554,0.008275782288107611,0.5975957144444896,1.0,-0.0821566356265959,0.02758640582036278,-0.09696555676662637,0.01086294789507095,-0.030976989872086257,-0.09262145533144513,-0.06844920951409379,0.008090433062952576,-0.0485722664992337,0.04845955551084311,0.04011205302141784,-0.07139729522553077,0.03666872708661316,-0.009208178427854099,0.06249571718756313,0.061696040857850576,0.13400653942543644,0.09648349059961173,0.014192033184290005,-0.0059334613420030016,0.07714857647768028,-0.018380438683471566,-0.01674112924096073,-0.018536926665226758,-0.12321355544891152,0.07322626584371147
