Feature,Importance
Num Folículos (D),0.18946474214533374
Crecimiento Vello (S/N),0.11556402582050004
Num Folículos (I),0.10914574380541929
Duración Ciclo (días),0.05842478668889948
Comida Rápida (S/N),0.05003532093156677
Ciclo (R/I),0.04219615401571113
AMH (ng/mL),0.0340687139680447
Oscurecimiento Piel (S/N),0.024045527632618267
Aumento Peso (S/N),0.022633672220659352
Ratio FSH/LH,0.01922783197879773
Endometrio (mm),0.018592234450668155
Tamaño Folículo Prom (I) (mm),0.01800691855600832
FSH (mUI/mL),0.016986155982228798
Tamaño Folículo Prom (D) (mm),0.016570767367785035
Edad (años),0.01622547765278759
beta-HCG I (mUI/mL),0.015740136624876624
LH (mUI/mL),0.015675030233332977
IMC,0.015601454851819838
Años Casada,0.015292499427842846
Peso (Kg),0.01482033800974922
Ratio Cintura-Cadera,0.014319519525491405
Progesterona (ng/mL),0.014248850339390648
Prolactina (ng/mL),0.01413726123025335
TSH (mUI/L),0.01395213927291093
Glucosa (mg/dl),0.013431868701994363
Vitamina D3 (ng/mL),0.012618665126099615
Altura (cm),0.011518347812926355
Cadera (pulg),0.010088920452462645
Hemoglobina (g/dl),0.009687690511404085
beta-HCG II (mUI/mL),0.007854838914891324
Ejercicio Regular (S/N),0.007826064153675448
Cintura (pulg),0.007547807234381778
Frecuencia Respiratoria (rpm),0.005872504890509561
Embarazada (S/N),0.005659090841107725
Grupo Sanguíneo,0.0056473926655820125
Frecuencia Cardiaca (lpm),0.004843522967260568
Acné (S/N),0.00406515292465022
Presión Sistólica (mmHg),0.0032852541746993674
Número Abortos,0.003220039954115862
Presión Diastólica (mmHg),0.0018575359415427906
